T,nH,SFR,old,values
7.731,-3.8939999999999997,-3.2739999999999996,10.948,-28.964770443649787
5.897,-6.372999999999999,-1.89,11.095999999999998,-33.14654515863193
4.668,-8.658,-0.185,9.443,-37.72834422764773
7.348,-5.835,-3.574,8.548,-33.33097150486018
8.042,-6.61,-0.033,10.885,-31.393113684972917
5.731,-4.851,-1.2919999999999998,9.429,-32.28167272825743
8.887,-8.618,-1.709,10.321,-33.16596098184053
7.187,-3.542,-0.18,10.942,-29.042919740342104
7.087000000000001,-1.0590000000000002,-2.323,9.607999999999999,-24.668815733413915
8.28,-7.916,-3.503,6.733,-34.785765650974376
5.107,1.068,0.475,9.249,-19.19129625080445
8.647,-5.141,-4.3660000000000005,10.041,-30.20548407016006
6.005,-7.985,-1.7069999999999999,6.22,-36.943934070568254
3.049,-8.661,2.16,10.472999999999999,-37.15039634191756
4.651,-4.841,1.177,10.133,-32.645949214389226
5.041,-6.81,2.911,10.387,-32.56301091221146
4.4319999999999995,-8.956,1.5490000000000002,7.018,-36.68070651589472
3.888,-5.718,0.146,11.435,-34.13049253214397
3.5060000000000002,-2.661,0.14400000000000002,10.097000000000001,-28.402524210129624
7.376,-8.927,1.455,11.258,-33.61149028468512
2.008,-3.253,-0.828,10.259,-31.581798176821753
7.789,-3.375,-1.926,7.047999999999999,-29.295875232608232
6.3229999999999995,-3.935,2.129,10.786,-29.162961089808626
6.906000000000001,-1.494,-0.512,8.469,-25.50931128328681
5.996,-0.353,0.65,6.861000000000001,-22.56019378860667
7.712000000000001,0.525,1.271,9.482000000000001,-21.545688811852433
2.517,-6.49,-1.234,10.015,-37.54868955416217
7.705,-4.526,1.611,9.085,-28.913925046004483
6.337000000000001,-3.77,-4.956,9.269,-29.697084920431138
6.906000000000001,1.527,2.6210000000000004,10.304,-19.46733478151911
5.136,-7.606,-2.73,9.326,-36.82932765968442
8.339,-0.5,-4.648,9.734,-23.311384433620738
5.066,-5.86,1.173,8.48,-33.322630331764984
7.58,-1.7069999999999999,2.114,11.295,-25.517426526116086
7.3389999999999995,0.8740000000000001,-3.199,11.787,-20.9256224623552
5.922000000000001,-2.359,-4.236000000000001,10.514000000000001,-26.56858798357921
6.507999999999999,2.782,-3.3339999999999996,7.957000000000001,-16.839321425599614
3.9339999999999997,-3.94,2.49,11.293,-31.165153476879702
2.572,-4.454,-3.1510000000000002,11.133,-32.66256070673077
8.905,-8.197000000000001,-1.876,11.818,-31.259684690670017
8.081,2.85,-0.639,11.833,-16.73964235836385
5.449,-1.004,2.9160000000000004,11.085,-24.905319286628853
7.502999999999999,-5.791,-0.402,6.922999999999999,-32.35310637583225
8.907,-4.163,-2.656,9.021,-29.713229263285946
5.645,-7.916,-0.375,8.121,-36.30622030596179
3.096,-7.61,-2.772,7.933,-39.45233603536832
4.171,-4.727,-2.718,6.0489999999999995,-32.67898184474473
4.827,-4.171,-3.875,11.575999999999999,-30.272442477565107
4.234,-2.498,-0.449,8.025,-28.13332876069261
4.431,-1.297,1.194,11.114,-25.603155794715253
4.332,1.1520000000000001,-0.32,7.7589999999999995,-20.181879722748896
4.1339999999999995,-7.24,-3.47,10.985999999999999,-35.88695958191218
8.711,-2.8310000000000004,-1.341,10.237,-27.385218751858922
2.7539999999999996,-7.415,0.825,9.246,-37.527887426978495
8.943999999999999,0.47,-1.982,8.964,-20.97408000149798
8.383,-7.994,-0.435,8.043,-33.70219573347472
6.76,-7.6129999999999995,-0.359,9.387,-34.72415906009533
7.662999999999999,1.262,0.35100000000000003,7.822,-20.090251469076875
7.544,3.759,0.963,6.435,-15.132815455512855
6.027,-2.386,-2.126,6.974,-26.627235240456262
8.715,3.728,-0.8,10.385,-14.63152716155964
6.4239999999999995,3.8819999999999997,1.239,8.336,-14.522734004575147
5.727,-1.197,-1.119,11.088,-24.130580517844177
4.489,3.303,-2.282,7.546,-15.356715151532507
4.749,-8.705,0.336,11.499,-36.192194467729365
3.4610000000000003,-0.077,-1.7169999999999999,11.464,-23.43774283244741
3.375,-0.10300000000000001,-4.189,11.904000000000002,-23.46566923277255
4.168,2.741,1.2919999999999998,8.405,-17.42083399762054
2.55,3.4989999999999997,-3.6639999999999997,10.744000000000002,-18.297776319705992
6.6739999999999995,-8.693999999999999,-4.681,10.94,-34.86404090787544
4.37,2.694,2.885,6.9639999999999995,-17.14870495188945
4.1,-3.08,1.568,6.667000000000001,-30.311660280677827
2.029,-5.499,2.6439999999999997,9.686,-34.52502656705164
8.498,-4.295,1.469,11.558,-27.719171322360268
4.917,-1.547,-4.013999999999999,8.76,-24.462583915726466
7.316,2.381,-0.562,9.054,-17.909354042426685
6.809,-7.796,2.147,8.755,-32.545887199974196
8.122,-5.721,-1.147,9.296,-31.857422839079465
3.185,-4.2,-2.943,9.668,-31.433421105215693
8.12,-3.153,1.5419999999999998,7.247999999999999,-27.18407044302328
6.4510000000000005,-1.7719999999999998,0.812,9.617,-26.007124084089483
7.691,-3.2089999999999996,-4.662,7.555,-29.012691326268822
6.272,2.189,0.242,10.383,-17.64120883760827
5.681,2.862,0.735,6.8870000000000005,-15.99662564598025
8.845,-7.385,1.381,7.438,-30.864485719001213
5.193,1.903,-2.043,10.125,-17.50266943703495
5.2410000000000005,-7.71,-2.7769999999999997,7.449,-37.56618218038569
6.691,-4.861000000000001,-3.201,6.888999999999999,-32.27295513072625
3.7489999999999997,-2.334,-4.167,10.37,-27.869762752114767
3.9610000000000003,1.095,1.839,10.204,-21.083677675782614
6.814,1.308,-4.918,10.418,-19.914352711703145
5.763,0.272,-3.7110000000000003,6.888,-21.21215711800139
7.675,-8.737,-4.944,8.329,-36.05543837239431
